name;description;unit_price;unit;tax_name
1071170200;"CREME ACETINADO HIDRATANTE CORPORAL SERENA 200 G
";31.30;unit;
1070000250;"CREME HIDRATANTE CARREADOR NEUTRO 250G - RITOS
";12.20;unit;
1141480100;"CREME HIDRATANTE QUERATOLITICO PARA OS PES 100 G - SANTO PE
";8.13;unit;
1081810100;"DEO COLONIA ACUCENA 100 ML
";38.21;unit;
1081570101;DEO COLONIA AMAU 100 ML - RELICARIO;19.11;unit;
1081150101;DEO COLONIA APOENA 100 ML - RELICARIO;19.11;unit;
1081110100;"DEO COLONIA BONISSIMO 100 ML
";28.86;unit;
1081600100;"DEO COLONIA BONISSIMO BLACK 100 ML
";28.86;unit;
1081530100;DEO COLONIA EM FLOR 100 ML - RELICARIO;19.11;unit;
1081500100;DEO COLONIA GIGI 100 ML;40.24;unit;
1082070101;DEO COLONIA OZARA 100 ML;31.71;unit;
1081860060;DEO COLONIA SUBLIME 60 ML;17.07;unit;
1082060100;DEO PARFUM IRIS 100 ML;31.71;unit;
1081490101;"DEO PARFUM SELETO 100 ML - SERIE 2
";33.74;unit;
1082040100;DEO PARFUM SELETO HERBO 100 ML;33.74;unit;
1081780100;"DEO PARFUM SELETO OCEAN 100 ML
";33.74;unit;
1081170101;DEO PARFUM SERENA 100 ML;24.07;unit;
1161600150;DESODORANTE AEROSOL ANTITRANSPIRANTE BONISSIMO BLACK 150 ML;9.76;unit;
1161490150;DESODORANTE AEROSOL ANTITRANSPIRANTE SELETO 150 ML;9.76;unit;
1161780150;"DESODORANTE AEROSOL ANTITRANSPIRANTE SELETO OCEAN 150 ML
";9.76;unit;
1141480160;DESODORANTE PARA OS PES - SANTO PE;8.86;unit;
1040009098;DIFUSOR AQUECIDO A VELA;32.11;unit;
1040800100;DIFUSOR DE ESSENCIAS ALECRIM & CAPIM LIMAO 100 ML;11.79;unit;
1041050100;DIFUSOR DE ESSENCIAS AMORA & PITANGA 100 ML;11.79;unit;
1041290100;"DIFUSOR DE ESSENCIAS AVADORE 100 ML
";33.98;unit;
1041080350;DIFUSOR DE ESSENCIAS BUQUE DE PEONIAS 350 ML;64.23;unit;
1041420200;"DIFUSOR DE ESSENCIAS CONDESSA 200ML
";44.72;unit;
1050009358;"DIFUSOR DE ESSENCIAS JARDIM BRASIL
";22.36;unit;
1041040100;DIFUSOR DE ESSENCIAS LAVANDA & AMBAR 100 ML;11.79;unit;
1040190350;DIFUSOR DE ESSENCIAS TERRA MADRE 350 ML;64.23;unit;
1010009416;"DISPLAY DISPENSER HOTELARIA
";19.08;service;
1070830300;EMULSAO HIDRATANTE CHA VERDE & ERVAS 300 ML - DIA DIA;7.80;unit;
1070760300;EMULSAO HIDRATANTE FLOR DE CEREJEIRA 300 ML - DIA DIA;7.80;unit;
1070010300;EMULSAO HIDRATANTE LAVANDA 300 ML - DIA DIA;7.80;unit;
1070780300;EMULSAO HIDRATANTE MARINA 300 ML - DIA DIA;7.80;unit;
1070790300;EMULSAO HIDRATANTE TAPAJOS 300 ML - DIA DIA;7.80;unit;
1070680050;EMULSAO SUAVIZANTE MAOS AMORA SILVESTRE 50G AUTOCUIDADO;5.28;unit;
1071360050;EMULSAO SUAVIZANTE MAOS CUPUACU 50G AUTOCUIDADO;5.28;unit;
1070730050;EMULSAO SUAVIZANTE MAOS MANGA VERDE 50G AUTOCUIDADO;5.28;unit;
1010009011;ESCOVA COM PEDRA POMES 10,5 X 5,5 X 4 CM;9.76;unit;
1010009012;ESCOVA DE BANHO COM MASSAGEADOR 30 X 7,5 X 5 CM;18.46;unit;
1010009013;ESCOVAO DE MADEIRA P/ BANHO 45,5 X 6,7 X 4,0 CM;14.63;unit;
1040550030;ESSENCIA CONCENTRADA ALECRIM 30 ML;11.38;unit;
1040580030;ESSENCIA CONCENTRADA AMBAR 30 ML;11.38;unit;
1041070030;"ESSENCIA CONCENTRADA BAMBU 30 ML
";11.38;unit;
1040020030;ESSENCIA CONCENTRADA CASCAS & FOLHAS 30 ML;11.38;unit;
1040490030;ESSENCIA CONCENTRADA FLOR DE ALGODAO 30 ML;11.38;unit;
1040250030;ESSENCIA CONCENTRADA MARRUA 30 ML;11.38;unit;
1040230030;ESSENCIA CONCENTRADA PITANGA 30 ML;11.38;unit;
1040640030;ESSENCIA CONCENTRADA PROVENCE 30 ML;11.38;unit;
2040800210;ESSENCIA PARA DIFUSOR ALECRIM & CAPIM LIMAO 210 ML;18.70;unit;
2040550210;ESSENCIA PARA DIFUSOR ALECRIM 210 ML;18.70;unit;
2040580210;ESSENCIA PARA DIFUSOR AMBAR 210 ML;18.70;unit;
2041050210;ESSENCIA PARA DIFUSOR AMORA & PITANGA 210 ML;18.70;unit;
2041290210;"ESSENCIA PARA DIFUSOR AVADORE 210 ML
";23.00;unit;
2041070211;"ESSENCIA PARA DIFUSOR BAMBU 210 ML
";18.70;unit;
2041070210;ESSENCIA PARA DIFUSOR BAMBU 210ML;18.70;unit;
2041080210;ESSENCIA PARA DIFUSOR BUQUE DE PEONIAS 210 ML;18.70;unit;
2040020210;ESSENCIA PARA DIFUSOR CASCAS & FOLHAS 210 ML;18.70;unit;
2041420210;"ESSENCIA PARA DIFUSOR CONDESSA 210 ML
";18.70;unit;
2040490210;ESSENCIA PARA DIFUSOR FLOR DE ALGODAO 210 ML;18.70;unit;
2041040210;ESSENCIA PARA DIFUSOR LAVANDA & AMBAR 210 ML;18.70;unit;
2040230210;ESSENCIA PARA DIFUSOR PITANGA 210 ML;18.70;unit;
2040640210;ESSENCIA PARA DIFUSOR PROVENCE 210 ML;18.70;unit;
2040190210;ESSENCIA PARA DIFUSOR TERRA MADRE 210 ML;18.70;unit;
1010009454;FERRAGEM MODULO SLIM 1500X270X80;106.83;unit;
1060009381;"FITA CETIM DOURADA 38MM C/ LOGO AVATIM (70 METROS)
";0.00;unit;
1060009388;"FITA GORGURAO VERDE 15MM REFUGIO DE BOAS SENSACOES (70 MT)
";0.00;unit;
2040009131;FLORES DISPERSORAS CONDESSA;19.59;unit;
1040000152;FRASCO AMBAR PARA DIFUSOR AVATIM 150 ML;8.13;unit;
1040000252;FRASCO AMBAR PARA DIFUSOR AVATIM 250 ML;12.20;unit;
1040000502;"FRASCO AMBAR PARA DIFUSOR AVATIM 500 ML
";13.82;unit;
1040000150;FRASCO CRISTAL PARA DIFUSOR AVATIM 150 ML;7.32;unit;
1040000250;FRASCO CRISTAL PARA DIFUSOR AVATIM 250 ML;13.82;unit;
1040000500;"FRASCO CRISTAL PARA DIFUSOR AVATIM 500 ML
";12.20;unit;
1040000151;FRASCO VERDE PARA DIFUSOR AVATIM 150 ML;8.13;unit;
1040000251;FRASCO VERDE PARA DIFUSOR AVATIM 250 ML;12.20;unit;
1040000501;"FRASCO VERDE PARA DIFUSOR AVATIM 500 ML
";13.82;unit;
1091810210;GEL DE BANHO ACUCENA 210 G;9.35;unit;
1090830300;GEL DE BANHO CHA VERDE & ERVAS 300 G - DIA DIA;9.35;unit;
1090760300;GEL DE BANHO FLOR DE CEREJEIRA 300 G - DIA DIA;9.35;unit;
1091500200;GEL DE BANHO GIGI 210 G;9.35;unit;
1090010300;GEL DE BANHO LAVANDA 300 G - DIA DIA;9.35;unit;
1091340300;"GEL DE BANHO LEMONGRASS 300 G - RITOS
";9.76;unit;
1090780300;GEL DE BANHO MARINA 300 G - DIA DIA;9.35;unit;
1091529401;"GEL DE BANHO MURU MURU & PATAUA 35 G (CX C/ 120 UND)
";131.26;service;
1091529390;GEL DE BANHO MURU MURU & PATAUA 390 G (CX C/ 20 UND);150.41;unit;
1090620300;"GEL DE BANHO MURU MURU 300 G - RITOS
";9.76;unit;
1091170200;GEL DE BANHO SERENA 200 G;6.34;unit;
1090790300;GEL DE BANHO TAPAJOS 300 G - DIA DIA;10.33;unit;
1091100200;GEL DE BANHO VERBENA & BAMBU 200 G;6.42;unit;
1091109361;"GEL DE BANHO VERBENA & BAMBU 35 G (CX C/ 120 UND)
";123.95;service;
1091109398;GEL DE BANHO VERBENA & BAMBU 390 G (CX C/ 20 UND);148.78;unit;
1090740300;"GEL DE BANHO YLANG YLANG 300 G - RITOS
";9.76;unit;
1091330300;"GEL DE BANHO ZIMBRO 300 G - RITOS
";9.76;unit;
