loja;codigo;descricao;familia;subfam;unidade;iva;datacriacao;retalho;fundo;letra;vendersemstock;precovenda;codbarras;iva2
2;1020230200;PERFUME PARA INTERIORES PITANGA 200 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.45;7898464621908;23.0
2;1020231100;PERFUME PARA INTERIORES PITANGA 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;39.02;7898464621182;23.0
2;1020250040;PERFUME PARA INTERIORES MARRUA 40 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.10;7899891307304;23.0
2;1020250200;PERFUME PARA INTERIORES MARRUA 200 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.45;7898464620437;23.0
2;1020251100;PERFUME PARA INTERIORES MARRUA 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;39.02;7898464621090;23.0
2;1020490040;PERFUME PARA INTERIORES FLOR DE ALGODAO 40 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.10;7899891307281;23.0
2;1020490200;PERFUME PARA INTERIORES FLOR DE ALGODAO 200 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.45;7898464621731;23.0
2;1020491100;PERFUME PARA INTERIORES FLOR DE ALGODAO 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;39.02;7898464621014;23.0
2;1020550040;PERFUME PARA INTERIORES ALECRIM 40 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.10;7899891307250;23.0
2;1020550200;PERFUME PARA INTERIORES ALECRIM 200 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.45;7898464621601;23.0
2;1020551100;PERFUME PARA INTERIORES ALECRIM 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;39.02;7898464620888;23.0
2;1020580040;PERFUME PARA INTERIORES AMBAR 40 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.10;7899891307267;23.0
2;1020580200;PERFUME PARA INTERIORES AMBAR 200 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.45;7898464621632;23.0
2;1020581100;PERFUME PARA INTERIORES AMBAR 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;39.02;7898464620918;23.0
2;1020640040;PERFUME PARA INTERIORES PROVENCE 40 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.10;7899891307298;23.0
2;1020640200;PERFUME PARA INTERIORES PROVENCE 200 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.45;7898464621915;23.0
2;1020641100;PERFUME PARA INTERIORES PROVENCE 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;39.02;7898464621199;23.0
2;1020800500;PERFUME PARA INTERIORES ALECRIM & CAPIM LIMAO 500 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;10.08;7898464620314;23.0
2;1021040500;PERFUME PARA INTERIORES LAVANDA & AMBAR 500ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;10.08;7898464625753;23.0
